Modelo,Distancia de carrera requerida para despegue,Altitud a la que se realiza el crucero,Velocidad a la que se realiza el crucero (m/s TAS),Techo de servicio máximo,Velocidad de pérdida limpia (m/s CAS),Área del ala,Relación de aspecto del ala,Longitud del fuselaje,Profundidad del fuselaje,Ancho del fuselaje,Peso máximo al despegue (MTOW),Alcance de la aeronave (km),Autonomía de la aeronave (h),Velocidad máxima (m/s IAS),Velocidad de pérdida (m/s CAS),Tasa de ascenso,Radio de giro,Envergadura,Cuerda,Payload,duracion en VTOL,Velocidad crucero (m/s IAS),Battery Weight,Peso frame,Peso vacio - fuel y battery,Peso Vacio (MTOW - payload),Maximum Crosswind (rachas),Maximum Crosswind (sostenido),Rango de comunicación,Wing Loading,Potencia específica (P/W),Capacidad combustible,Consumo,Potencia Watts,Potencia HP,Precio,Tiempo de emergencia en vuelo,Despegue,Propulsión horizontal,Propulsión vertical,Cantidad de motores propulsión vertical,Cantidad de motores propulsión horizontal,Misión,Clase,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,aeronave,dv_Peso máximo al despegue (MTOW),viol_Peso máximo al despegue (MTOW),dv_Autonomía de la aeronave (h),viol_Autonomía de la aeronave (h),dv_Velocidad crucero (m/s IAS),viol_Velocidad crucero (m/s IAS),distancia,similitud,distancia_media,similitud_media,segmento
Stalker VXE30 Battery,Nan,Nan,17.34,12000,Nan,1.1582832,15.326448834651856,2.5908,Nan,0.2,21.8,222,4,25.034211403264,Nan,Nan,Nan,4.8768,0.31819504,2.494756,Nan,16.093421616384,Nan,Nan,Nan,19.28,Nan,Nan,100,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,2.0,5.0,0.0,1.0,1.0,1.0,,,,peso vacio=MTOW - Payload,Stalker VXE30 Battery,0.0,False,0.4419889502762431,True,0.23684203523180133,True,0.6788309855080444,0.5072095812765626,0.22627699516934816,0.7974971682051746,Vigilancia / fotogrametría y carga
JOUAV CW-15,Nan,Nan,18.25,20000,Nan,Nan,Nan,2.06,Nan,Nan,17.0,182.95,3,33.47688505925709,Nan,Nan,Nan,Nan,Nan,3,Nan,16.94,Nan,Nan,Nan,14,Nan,13.8,50,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,1.0,1.0,3.0,,,,,JOUAV CW-15,0.0,False,0.5524861878453038,True,0.1316770186335402,True,0.684163206478844,0.5045122255501365,0.22805440215961467,0.7960809501344783,Vigilancia / fotogrametría y carga
Aerosonde Mk. 4.7 Fixed Wing,Nan,Nan,26.93,14700,Nan,1.55,12.500000000000002,3,Nan,0.277,42.2,1782,19.8,33.43886,Nan,Nan,Nan,4.4,0.352,14.5,Nan,25,Nan,Nan,Nan,27.7,Nan,Nan,140,Nan,Nan,Nan,0.6,2980,4,Nan,Nan,1.0,2.0,5.0,0.0,1.0,1.0,1.0,,,,Autonomia tiempo = alcance / velocidad crucero,Aerosonde Mk. 4.7 Fixed Wing,0.2925659472422063,True,0.419889502762431,True,0.0,False,0.7124554500046373,0.4904384706208181,0.23748515000154577,0.7886086017306408,Vigilancia / fotogrametría y carga
Omnibe (BETA UAS),Nan,Nan,20.47,Nan,14,1.309302447529195,15.05213703265623,2,Nan,0.1789907528198699,12.0,102.6,1.5,28,Nan,Nan,Nan,2.9,0.3441783706226256,1.5,Nan,19,Nan,Nan,Nan,7,Nan,Nan,17,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,Omnibe (BETA UAS),0.0,False,0.718232044198895,True,0.0,False,0.718232044198895,0.48761357359600327,0.23941068139963165,0.7870915721200019,Vigilancia / fotogrametría y carga
Avy Aera,Nan,Nan,26.93,Nan,16.11044135591048,Nan,Nan,1.5,Nan,Nan,19.5,100,1.25,38.9,Nan,Nan,Nan,2.4,Nan,3,Nan,25,Nan,Nan,Nan,16.5,Nan,12.5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,1.0,1.0,3.0,,,,,Avy Aera,0.0,False,0.7458563535911602,True,0.0,False,0.7458563535911602,0.4743279335388092,0.24861878453038674,0.7798772179838753,Vigilancia / fotogrametría y carga
FIXAR 007 NG,Nan,Nan,19.39,20000,14.36188254042029,Nan,Nan,0.85,Nan,Nan,7.0,55,1.17,24,14.36188254042029,Nan,Nan,1.62,Nan,2,Nan,18,Nan,Nan,Nan,5,Nan,15,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,4.0,1.0,3.0,,,,,FIXAR 007 NG,0.0,False,0.754696132596685,True,0.0,False,0.754696132596685,0.4701534573370735,0.25156537753222835,0.7775826195151835,Vigilancia / fotogrametría y carga
WingtraOne GEN II,Nan,7000,19.39,Nan,Nan,Nan,Nan,1.25,Nan,12,4.5,64.8,1,Nan,Nan,Nan,Nan,Nan,Nan,0.8,Nan,18,Nan,Nan,2.5,3.7,18,12,10,Nan,Nan,Nan,Nan,Nan,Nan,19900,Nan,2.0,1.0,4.0,4.0,1.0,1.0,3.0,,,,,WingtraOne GEN II,0.0,False,0.7734806629834253,True,0.0,False,0.7734806629834253,0.46140427731735545,0.25782688766114176,0.7727289894517382,Vigilancia / fotogrametría y carga
Atmos Marlyn Cobalt (VTOL ala fija),Nan,Nan,19.5,16400,14.4087033823693,Nan,Nan,Nan,Nan,Nan,6.4,54.08,0.83,Nan,14.4087033823693,Nan,Nan,1.6,Nan,15.3,Nan,18.1,Nan,Nan,Nan,-8.9,Nan,Nan,7.5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,4.0,1.0,3.0,,,,,Atmos Marlyn Cobalt (VTOL ala fija),0.0,False,0.7922651933701657,True,0.0,False,0.7922651933701657,0.45281791254406994,0.2640883977900552,0.7679056554934288,Vigilancia / fotogrametría y carga
Mantis,Nan,Nan,17.99,Nan,Nan,1.188170275613432,15.32104712297011,1.48,Nan,0.1919246216763577,6.5,25,2,25.6,Nan,Nan,Nan,2.1,0.3243350481539728,Nan,Nan,16.7,Nan,Nan,Nan,Nan,Nan,Nan,25,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,1.0,5.0,0.0,1.0,1.0,1.0,,,,,Mantis,0.0,False,0.6629834254143646,True,0.16149068322981375,True,0.8244741086441784,0.43846551706944065,0.27482470288139277,0.7597052857007024,Vigilancia / fotogrametría y carga
Trinity Pro,Nan,Nan,18.31,18000,13.85842775609449,Nan,Nan,1.48,Nan,Nan,5.75,91.8,1.5,Nan,13.85842775609449,Nan,Nan,2.394,Nan,0.7,Nan,17,Nan,Nan,Nan,Nan,Nan,Nan,7.5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,3.0,3.0,1.0,3.0,,,,,Trinity Pro,0.0,False,0.718232044198895,True,0.12422360248447203,True,0.842455646683367,0.43065169549977156,0.2808185488944557,0.7551653486366166,Vigilancia / fotogrametría y carga
Trinity F90+,Nan,Nan,18.31,15000,13.85842775609449,Nan,Nan,1.48,Nan,Nan,5.0,100,1.5,Nan,13.85842775609449,Nan,Nan,2.394,Nan,0.7,Nan,17,Nan,Nan,Nan,4.3,Nan,Nan,7.5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,3.0,3.0,1.0,3.0,,,,,Trinity F90+,0.0,False,0.718232044198895,True,0.12422360248447203,True,0.842455646683367,0.43065169549977156,0.2808185488944557,0.7551653486366166,Vigilancia / fotogrametría y carga
